id,name,review_count,rating,latitude,longitude,price,zip_code
TJQYqfPzVCbh7Op6GxQixQ,Iggy’s Eggies,110,4.0,42.33388,-83.04928,1,48226
F5n71dADAgUqYPOqFkQg9Q,Rocco's Italian Deli,133,4.5,42.34647,-83.06157,2,48201
YF4XiXkSFwWSUW86RrORvg,Luigi's Original Restaurant,209,4.0,42.56926,-82.83975,2,48045
GMupHSbjOxy_9CAZdbpMvA,Gina's Cafe,216,4.5,42.55908,-82.86931,1,48035
UpF5QWWr79JhsO2Tw3h-zg,New Age Noodles,141,4.5,42.60115,-82.8761,2,48043
C87Dng1diXJAZXssI_D2kw,Brioni's,63,4.5,42.56867,-82.84033,1,48045
zsb_fap5JThEfE_TTUAApQ,Eos Cafe & Coffee House,204,4.5,42.51886,-82.87805,1,48082
iOUfwbBYHvSGoFwDk44CkA,Terry's Terrace,343,3.5,42.56604,-82.84216,2,48045
LkrdR-3Cs7tC_20z_0EJAw,Gumbo's,135,4.5,42.60075,-82.87385,2,48043
nm1aq9JCMJONNkNUojF9Zg,Juan Miguel's,322,4.5,42.62833,-82.90382,2,48038
wYGiyxNobrLFT-2PCl6ycQ,Pho LineUp,175,4.5,42.56632,-82.95205,0,48035
wO3wK9LiycFdhVBnwO92oA,J. Baldwin's,344,4.0,42.59891,-82.95058,2,48038
7pkd3L_vqDltjmTWn8jWQw,River Rat Restaurant,93,4.0,42.5923,-82.81625,2,48045
K1-fo-xN-sXo9porqzmYVA,New Asian Star,164,4.0,42.54079,-82.88243,2,48035
MX0p-yHLhsRHMMyzfuqniA,Kabob Town,177,4.5,42.64556,-82.85285,1,48051
oQQt-qDnMIBnKswE_h3ovA,Asahi Sushi,359,4.0,42.60441,-82.95152,2,48038
d_gsW8bfsPCayKY_4wUksw,Penne Lane,189,4.0,42.62897,-82.8678,2,48036
Ykvtn0LUHBNNn4GU-DlEgg,The Sandbar,74,3.5,42.57112,-82.83545,2,48045
y4BqOxOcIEqAqHFzJMeimw,Kabob Castle,140,4.0,42.54068,-82.90903,2,48035
PCzOpxDOxA07Dc7Ghws2mQ,Mae's,53,4.5,42.59837,-82.87854,0,48043
WGRBG27TY9xXO8-pyCO5fg,Bubba's 33,324,4.0,42.62899,-82.94406,2,48044
dst8TJBdkl6hT1L35jUUjQ,Abby Lane,148,4.5,42.55345,-82.9486,1,48026
MSSy1B1KBdS-SevxAgW73A,Mr. Pauls Chop House,371,4.5,42.51464,-82.95287,3,48066
Zqj5ThFjp0ddF1TYiKeUvw,Hankuk Oriental Market & Restaurant,71,4.5,42.54463,-82.90636,1,48035
MTX0Xhdp21j38Kvz7ghzzQ,Twisted Rooster Chesterfield,287,3.5,42.63163,-82.85528,2,48051
2ED7PFzgIg7EbooJyn3Ccw,Johnny Z's Pizzeria,142,4.5,42.5012,-82.89739,1,48081
sFyxvDS5Xb1qDuRPvCtQgQ,Thai Orchid Cuisine,99,4.0,42.59863,-82.87819,2,48043
ZyPd6ziuS6-4Rmoy8urd8Q,Cooper's Hawk Winery & Restaurant - Clinton Township,335,4.0,42.62586,-82.94433,3,48038
yeudRDy8hLncnWrSzO9Hrg,Vinny's Brunch,118,4.5,42.62788,-82.9133,2,48038
yPxAJbNHi1tjpj5eRrQinQ,Eastside Tavern,48,4.5,42.59133,-82.86635,1,48043
NcMmKE7113bTmP7oUw49nQ,Khom Fai: Thai Dining Experience,408,4.5,42.65669,-82.93707,2,48044
MueaLchlWDRhThXHsKuUaA,Jimmy Dee's Restaurant Lounge,112,4.0,42.61842,-82.88232,2,48036
Qml4D3h5KmEFqd9CxwfuPg,La Mia,90,4.0,42.61935,-82.8661,2,48036
s5WQ1g-8Yf-NtaUUoC5AkA,Louies Ham and Cornbeef,49,4.5,42.59158,-82.8802,2,48043
_Ql_cfAYYbXve6LwckRViw,Ms. Mary's and Pete Too,142,4.0,42.54722,-82.90362,2,48035
GjpT7IGBQxp9ApQpMoKiKw,Emerson's on the Grill,71,4.0,42.61507,-82.88454,1,48036
cMZpLbXa-kECNsdsoVTE4Q,Jillian's Coney Island & Grille,159,4.5,42.67278,-82.83209,1,48051
bKfU4AsZS3cIs0vvEPn9Wg,Luciano's Italian Restaurant,280,4.0,42.58485,-82.95209,2,48038
_I7vvRPNYu_P4KtYDkoVcA,Crews Inn,96,3.5,42.59504,-82.79097,2,48045
8GfLfFxp8Y7LQSkLXw_0aw,Testa Barra Kitchen & Cocktails,302,4.5,42.65633,-82.93583,3,48044
HPKg95iEOllS-wn4OyRUgw,Eagles Bar & Grill,182,4.0,42.67141,-82.82697,2,48051
YhwNKAQi5uxU-tC52LpXeQ,Engine House,96,4.0,42.59776,-82.89247,2,48043
fTYq7vqlNuKbJc-VMaNLdw,Rec Bowl,43,4.0,42.59523,-82.87577,1,48043
mlo9DsoKrHZpy_AtTP2tTw,Madina Indian Restaurant,31,4.5,42.54,-82.88293,0,48082
FvVq21EX-xPCcDSEEzSDMQ,Sam's Kabob House,118,4.5,42.61429,-82.95316,2,48038
fPaIV1hNNwkjQ55Tuue8Mg,Karas Family Restaurants,69,4.5,42.49376,-82.89697,1,48081
0PKUMvZEl-7Md_KbLAtJCw,O'Halloran's Public House,64,4.0,42.59978,-82.87972,2,48043
fFHCkj2tpv1aUd9_yvvxtA,Travis Restaurant,57,4.0,42.54953,-82.87373,1,48035
XLndFDYvavnHPT0bucYrNA,Eddie's Drive In,57,3.5,42.56363,-82.84574,1,48045
iRCoWfW6n0OzIsdzaeRcNg,Bath City Bistro,106,3.5,42.59855,-82.879,2,48043
OkbJBO_4lK8enAM5wi8b6g,Naked Burger,122,4.0,42.6143,-82.95399,2,48038
fGj2fwdxSuIB3hYPaUq1WQ,Michigan & Trumbull,118,4.5,42.33208,-83.06645,2,48216
kvG8Rsie9vE7lQqOvUxRrw,Honest John's Bar & Grill,502,4.0,42.34797,-83.06394,1,48201
